Gender,Age,Marital Status,Employee Type,Shift Type,Location,Commute Distance,Vehicle type,Health Status,Department,Overtime,Weekly Working Hours,Promotion Status,English Language Level,Bonus Type,Current Skill,Employee Satisfaction,Training Type,Productivity Before,Productivity After,Training Hours,Employee performance,Years of Experience,Job Level,Education Level,Gross Income,Bonus,Insurance Status,Insurance Type,Work Position,Team Size
Female,43,Married,Full-Time,Day,Location_Group_7,10,Private,Poor,Department_Group_7,Yes,29,Yes,Advanced,Fixed,Production,High,Workshop,63,77,45,4,8,Job Level_Group_1,PhD,High,3211,No,,Work Position_Group_1,Team Size_Group_8
Female,27,Married,Part-Time,Day,Location_Group_2,30,Private,Average,Department_Group_1,No,26,No,Intermediate,Fixed,Business Strategy,High,Online,70,80,47,4,4,Job Level_Group_3,Master,Medium,1172,No,,Work Position_Group_2,Team Size_Group_4
Male,34,Single,Remote,Day,Location_Group_4,46,Public,Good,Department_Group_6,Yes,46,No,Intermediate,Percentage,Customer-Relation,Low,Workshop,69,82,119,9,8,Job Level_Group_1,PhD,High,1157,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,40,Single,Part-Time,Flexible,Location_Group_6,8,Public,Average,Department_Group_6,Yes,33,Yes,Basic,Fixed,UX-Design,Low,Workshop,40,57,23,3,5,Job Level_Group_2,PhD,High,3856,No,,Work Position_Group_2,Team Size_Group_4
Female,20,Single,Full-Time,Night,Location_Group_2,39,Private,Poor,Department_Group_3,Yes,52,No,Advanced,Fixed,Programming,High,Online,61,80,101,8,1,Job Level_Group_4,Diploma,Low,532,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,29,Single,Part-Time,Night,Location_Group_6,2,Private,Poor,Department_Group_2,No,25,No,Advanced,Percentage,UX-Design,Medium,Online,77,88,47,2,4,Job Level_Group_3,Master,Medium,866,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,20,Single,Contract,Day,Location_Group_2,21,Public,Poor,Department_Group_8,No,44,Yes,Basic,Percentage,Customer-Relation,Low,Online,79,97,11,2,1,Job Level_Group_4,Diploma,Low,3036,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,18,Single,Remote,Night,Location_Group_5,42,Private,Poor,Department_Group_5,Yes,40,Yes,Basic,Fixed,Artificial-Intelligence,Low,In-Person,39,55,29,3,1,Job Level_Group_4,Diploma,Low,3186,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,35,Married,Full-Time,Flexible,Location_Group_4,3,Private,Average,Department_Group_3,Yes,49,Yes,Basic,Percentage,Marketing,Low,Workshop,55,74,40,9,5,Job Level_Group_2,PhD,High,3908,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,38,Married,Contract,Night,Location_Group_5,10,Private,Poor,Department_Group_8,Yes,27,Yes,Intermediate,Fixed,Quality-Supervisor,Low,Online,62,79,58,4,6,Job Level_Group_2,PhD,High,3566,No,,Work Position_Group_1,Team Size_Group_7
Male,30,Single,Contract,Night,Location_Group_4,29,Public,Average,Department_Group_5,Yes,30,Yes,Basic,Fixed,Artificial-Intelligence,Low,Online,48,63,70,4,5,Job Level_Group_2,Master,Medium,4033,No,,Work Position_Group_2,Team Size_Group_4
Female,34,Single,Full-Time,Night,Location_Group_5,9,Public,Average,Department_Group_6,Yes,52,No,Advanced,Percentage,UI-Design,High,,70,70,0,2,6,Job Level_Group_2,PhD,High,1349,No,,Work Position_Group_2,Team Size_Group_4
Female,44,Single,Contract,Night,Location_Group_3,26,Private,Poor,Department_Group_2,No,38,No,Intermediate,Percentage,Data-Science,Medium,In-Person,64,75,53,1,9,Job Level_Group_1,PhD,Very High,1465,Yes,Both,Work Position_Group_1,Team Size_Group_9
Female,24,Single,Remote,Night,Location_Group_7,23,Public,Good,Department_Group_5,Yes,45,Yes,Basic,Percentage,Data-Science,High,In-Person,59,77,98,4,2,Job Level_Group_4,Bachelor,Low,3827,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,35,Married,Remote,Flexible,Location_Group_2,39,Public,Average,Department_Group_3,No,59,Yes,Intermediate,Percentage,Project-Management,Medium,In-Person,49,63,110,9,8,Job Level_Group_1,PhD,Medium,3307,Yes,Both,Work Position_Group_1,Team Size_Group_1
Female,33,Single,Contract,Night,Location_Group_4,33,Public,Good,Department_Group_7,Yes,50,No,Basic,Fixed,Production,Low,Online,78,91,108,9,8,Job Level_Group_1,PhD,Very High,1356,No,,Work Position_Group_2,Team Size_Group_4
Male,36,Single,Contract,Day,Location_Group_1,8,Public,Average,Department_Group_8,Yes,57,Yes,Basic,Fixed,Project-Management,High,,58,58,0,5,6,Job Level_Group_2,PhD,Very High,1413,No,,Work Position_Group_1,Team Size_Group_9
Male,40,Single,Remote,Day,Location_Group_6,4,Public,Good,Department_Group_7,Yes,42,Yes,Basic,Fixed,Marketing,High,Workshop,79,92,36,5,7,Job Level_Group_1,PhD,Very High,3651,No,,Work Position_Group_1,Team Size_Group_5
Male,21,Married,Remote,Night,Location_Group_1,49,Public,Average,Department_Group_8,Yes,58,No,Basic,Fixed,UI-Design,Low,In-Person,70,88,117,9,2,Job Level_Group_4,Bachelor,Low,522,No,,Work Position_Group_2,Team Size_Group_4
Male,27,Married,Part-Time,Flexible,Location_Group_3,4,Private,Average,Department_Group_2,No,27,No,Advanced,Fixed,Production,Low,Workshop,49,64,26,2,3,Job Level_Group_3,Master,Medium,719,No,,Work Position_Group_2,Team Size_Group_4
Male,20,Married,Remote,Night,Location_Group_4,30,Private,Good,Department_Group_2,Yes,32,Yes,Advanced,Fixed,Business Strategy,Low,In-Person,66,77,85,1,1,Job Level_Group_4,Diploma,Low,4019,Yes,Life,Work Position_Group_2,Team Size_Group_4
Female,19,Married,Full-Time,Flexible,Location_Group_4,42,Public,Average,Department_Group_4,Yes,38,Yes,Intermediate,Percentage,Marketing,Low,Workshop,76,95,37,1,1,Job Level_Group_4,Diploma,Low,3865,No,,Work Position_Group_2,Team Size_Group_4
Male,40,Married,Full-Time,Night,Location_Group_6,11,Public,Good,Department_Group_4,No,45,No,Basic,Fixed,Data-Science,Low,Online,62,77,118,4,6,Job Level_Group_2,PhD,High,860,Yes,Life,Work Position_Group_1,Team Size_Group_5
Male,24,Single,Part-Time,Flexible,Location_Group_7,16,Public,Average,Department_Group_9,Yes,45,No,Basic,Percentage,Project-Management,Medium,Workshop,43,62,52,5,2,Job Level_Group_4,Bachelor,Low,944,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,22,Married,Part-Time,Flexible,Location_Group_3,14,Public,Good,Department_Group_8,Yes,42,Yes,Intermediate,Percentage,Data-Science,Low,,71,71,0,4,2,Job Level_Group_4,Bachelor,Low,604,No,,Work Position_Group_2,Team Size_Group_4
Male,23,Married,Part-Time,Day,Location_Group_4,18,Public,Average,Department_Group_7,No,32,No,Basic,Percentage,Production,Low,Online,39,56,106,2,2,Job Level_Group_4,Bachelor,Medium,1096,No,,Work Position_Group_2,Team Size_Group_4
Female,29,Married,Remote,Night,Location_Group_5,3,Public,Poor,Department_Group_4,Yes,36,No,Intermediate,Percentage,Sale,Medium,Workshop,59,72,89,2,4,Job Level_Group_3,Master,Medium,1312,No,,Work Position_Group_2,Team Size_Group_4
Male,26,Single,Remote,Flexible,Location_Group_3,9,Private,Poor,Department_Group_9,Yes,57,No,Intermediate,Percentage,UI-Design,High,,70,70,0,4,4,Job Level_Group_3,Master,Medium,1040,No,,Work Position_Group_2,Team Size_Group_4
Male,40,Single,Part-Time,Flexible,Location_Group_7,9,Public,Good,Department_Group_3,Yes,46,No,Intermediate,Fixed,Marketing,Low,Online,44,57,81,7,9,Job Level_Group_1,PhD,Very High,880,Yes,Life,Work Position_Group_1,Team Size_Group_5
Female,27,Married,Contract,Night,Location_Group_7,18,Private,Poor,Department_Group_5,No,31,No,Intermediate,Fixed,Artificial-Intelligence,High,,63,63,0,5,4,Job Level_Group_3,Master,Medium,1467,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,28,Single,Remote,Night,Location_Group_7,10,Private,Average,Department_Group_5,No,50,No,Intermediate,Fixed,Project-Management,Low,,44,44,0,5,3,Job Level_Group_3,Master,Medium,1158,No,,Work Position_Group_2,Team Size_Group_4
Female,19,Single,Part-Time,Day,Location_Group_6,37,Private,Good,Department_Group_7,Yes,49,Yes,Intermediate,Fixed,Project-Management,High,,41,41,0,2,1,Job Level_Group_4,Diploma,Low,787,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,34,Married,Full-Time,Flexible,Location_Group_4,3,Public,Good,Department_Group_2,No,49,Yes,Basic,Percentage,Management,Low,Workshop,39,53,63,9,6,Job Level_Group_2,PhD,Very High,3062,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,32,Single,Full-Time,Flexible,Location_Group_2,25,Private,Poor,Department_Group_9,Yes,50,Yes,Advanced,Percentage,Project-Management,Medium,Online,73,91,56,7,9,Job Level_Group_1,PhD,Very High,4022,No,,Work Position_Group_2,Team Size_Group_4
Female,20,Married,Part-Time,Night,Location_Group_4,40,Private,Poor,Department_Group_4,Yes,28,No,Intermediate,Fixed,Customer-Relation,Medium,In-Person,68,85,102,4,1,Job Level_Group_4,Diploma,Low,949,No,,Work Position_Group_2,Team Size_Group_4
Male,28,Married,Full-Time,Flexible,Location_Group_6,48,Public,Average,Department_Group_6,No,38,No,Advanced,Fixed,Quality-Supervisor,High,In-Person,35,48,30,5,3,Job Level_Group_3,Master,Medium,527,No,,Work Position_Group_2,Team Size_Group_4
Female,36,Single,Part-Time,Night,Location_Group_4,18,Private,Poor,Department_Group_9,No,29,No,Intermediate,Fixed,Sale,Medium,Workshop,66,78,59,5,7,Job Level_Group_1,PhD,High,1104,Yes,Both,Work Position_Group_1,Team Size_Group_5
Female,23,Single,Full-Time,Night,Location_Group_2,49,Public,Average,Department_Group_2,Yes,24,No,Advanced,Fixed,Quality-Supervisor,Medium,Workshop,46,64,91,3,2,Job Level_Group_4,Bachelor,Low,544,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,28,Single,Full-Time,Day,Location_Group_1,2,Public,Average,Department_Group_4,Yes,23,Yes,Intermediate,Percentage,Project-Management,Medium,Workshop,41,52,41,1,3,Job Level_Group_3,Master,Medium,3747,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,31,Single,Contract,Night,Location_Group_6,42,Public,Average,Department_Group_4,No,43,No,Intermediate,Fixed,Management,Medium,Workshop,53,65,101,1,9,Job Level_Group_1,PhD,Very High,917,No,,Work Position_Group_2,Team Size_Group_4
Female,21,Married,Full-Time,Day,Location_Group_4,47,Public,Good,Department_Group_4,No,43,No,Intermediate,Percentage,Project-Management,High,,58,58,0,3,2,Job Level_Group_4,Bachelor,Low,1232,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,38,Single,Remote,Flexible,Location_Group_3,17,Private,Poor,Department_Group_3,Yes,47,No,Basic,Fixed,Business Strategy,Medium,In-Person,53,69,83,9,8,Job Level_Group_1,PhD,Very High,667,No,,Work Position_Group_1,Team Size_Group_3
Male,19,Married,Contract,Flexible,Location_Group_7,24,Public,Good,Department_Group_7,Yes,41,Yes,Advanced,Fixed,Production,High,,49,49,0,4,1,Job Level_Group_4,Diploma,Low,590,No,,Work Position_Group_2,Team Size_Group_4
Female,38,Married,Contract,Flexible,Location_Group_3,46,Public,Good,Department_Group_6,Yes,46,No,Basic,Percentage,UX-Design,Low,Workshop,38,57,26,8,7,Job Level_Group_1,PhD,Very High,1472,No,,Work Position_Group_1,Team Size_Group_10
Male,29,Married,Part-Time,Day,Location_Group_3,23,Public,Average,Department_Group_3,No,27,No,Intermediate,Percentage,Management,Medium,Workshop,67,81,52,4,3,Job Level_Group_3,Master,Medium,866,No,,Work Position_Group_2,Team Size_Group_4
Female,38,Married,Contract,Flexible,Location_Group_5,10,Public,Average,Department_Group_2,No,21,No,Basic,Fixed,Project-Management,High,In-Person,42,60,112,3,7,Job Level_Group_1,PhD,Very High,1111,No,,Work Position_Group_1,Team Size_Group_2
Male,26,Married,Full-Time,Night,Location_Group_3,25,Public,Poor,Department_Group_6,No,51,No,Intermediate,Percentage,Artificial-Intelligence,Low,,67,67,0,1,4,Job Level_Group_3,Master,Medium,853,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,43,Married,Full-Time,Flexible,Location_Group_7,34,Private,Good,Department_Group_7,No,59,Yes,Basic,Fixed,Project-Management,High,,57,57,0,4,6,Job Level_Group_2,PhD,High,649,No,,Work Position_Group_1,Team Size_Group_8
Female,35,Single,Remote,Night,Location_Group_5,8,Private,Average,Department_Group_6,Yes,52,Yes,Intermediate,Fixed,Marketing,Medium,In-Person,47,63,99,9,9,Job Level_Group_1,PhD,Very High,3584,Yes,Health,Work Position_Group_1,Team Size_Group_9
Female,31,Married,Full-Time,Night,Location_Group_6,36,Public,Poor,Department_Group_9,No,49,Yes,Intermediate,Fixed,Project-Management,Low,In-Person,44,60,21,7,8,Job Level_Group_1,PhD,High,4460,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,27,Single,Contract,Day,Location_Group_1,23,Private,Poor,Department_Group_8,No,56,Yes,Basic,Percentage,Project-Management,Low,Online,59,76,78,7,3,Job Level_Group_3,Master,Medium,4005,No,,Work Position_Group_2,Team Size_Group_4
Female,34,Married,Part-Time,Night,Location_Group_4,41,Public,Poor,Department_Group_4,No,34,Yes,Intermediate,Percentage,Production,High,,43,43,0,2,5,Job Level_Group_2,PhD,Very High,871,No,,Work Position_Group_2,Team Size_Group_4
Male,38,Single,Full-Time,Day,Location_Group_5,16,Private,Good,Department_Group_2,No,46,Yes,Basic,Percentage,Business Strategy,Medium,Online,45,61,108,8,5,Job Level_Group_2,PhD,Very High,4035,No,,Work Position_Group_2,Team Size_Group_4
Female,25,Single,Remote,Flexible,Location_Group_6,5,Public,Good,Department_Group_8,No,38,Yes,Intermediate,Fixed,Programming,High,,45,45,0,3,3,Job Level_Group_3,Bachelor,Medium,642,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,33,Single,Part-Time,Flexible,Location_Group_2,33,Public,Poor,Department_Group_6,No,23,Yes,Basic,Fixed,Artificial-Intelligence,High,,71,71,0,2,5,Job Level_Group_2,PhD,Very High,746,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,27,Single,Full-Time,Day,Location_Group_3,18,Public,Good,Department_Group_7,Yes,48,No,Advanced,Fixed,Marketing,High,Online,73,86,96,9,4,Job Level_Group_3,Master,Medium,670,No,,Work Position_Group_2,Team Size_Group_4
Female,30,Married,Contract,Night,Location_Group_2,24,Private,Average,Department_Group_2,No,43,Yes,Intermediate,Percentage,Project-Management,Medium,Workshop,46,62,37,5,9,Job Level_Group_1,Master,Medium,3131,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,31,Married,Part-Time,Flexible,Location_Group_5,48,Private,Poor,Department_Group_6,No,35,No,Intermediate,Percentage,Quality-Supervisor,Medium,Workshop,32,46,88,1,8,Job Level_Group_1,PhD,High,948,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,22,Married,Full-Time,Night,Location_Group_3,14,Private,Average,Department_Group_1,Yes,51,Yes,Intermediate,Percentage,Programming,Medium,Workshop,62,80,83,9,2,Job Level_Group_4,Bachelor,Low,3837,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,32,Married,Remote,Day,Location_Group_1,29,Private,Poor,Department_Group_1,No,48,Yes,Intermediate,Fixed,Marketing,Medium,Workshop,64,78,64,9,6,Job Level_Group_2,PhD,High,4411,No,,Work Position_Group_2,Team Size_Group_4
Male,25,Married,Full-Time,Day,Location_Group_2,12,Private,Average,Department_Group_5,No,32,Yes,Advanced,Percentage,Marketing,High,Online,36,52,86,5,3,Job Level_Group_3,Bachelor,Low,3691,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,37,Single,Full-Time,Night,Location_Group_7,30,Private,Poor,Department_Group_5,No,33,No,Intermediate,Percentage,Quality-Supervisor,Medium,Workshop,51,67,42,3,8,Job Level_Group_1,PhD,Very High,631,No,,Work Position_Group_1,Team Size_Group_8
Male,26,Single,Full-Time,Flexible,Location_Group_3,16,Private,Average,Department_Group_7,Yes,36,Yes,Basic,Percentage,Project-Management,High,,77,77,0,1,4,Job Level_Group_3,Master,Medium,1328,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,31,Single,Part-Time,Day,Location_Group_5,37,Public,Good,Department_Group_1,No,52,No,Intermediate,Percentage,Quality-Supervisor,Low,Online,61,72,103,7,6,Job Level_Group_2,PhD,Very High,1255,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,35,Single,Remote,Day,Location_Group_2,31,Public,Average,Department_Group_5,No,29,Yes,Advanced,Fixed,Quality-Supervisor,Medium,In-Person,56,75,76,3,5,Job Level_Group_2,PhD,Very High,3199,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,39,Single,Remote,Flexible,Location_Group_5,48,Private,Good,Department_Group_1,No,59,Yes,Intermediate,Percentage,Finance,Medium,In-Person,41,54,20,7,9,Job Level_Group_1,PhD,Very High,4286,No,,Work Position_Group_1,Team Size_Group_6
Female,41,Married,Part-Time,Night,Location_Group_1,43,Public,Good,Department_Group_3,Yes,25,No,Basic,Fixed,Customer-Relation,Low,In-Person,72,83,97,1,7,Job Level_Group_1,PhD,Very High,982,No,,Work Position_Group_1,Team Size_Group_11
Male,34,Single,Full-Time,Day,Location_Group_5,16,Public,Poor,Department_Group_3,No,24,Yes,Basic,Fixed,Customer-Relation,High,Workshop,66,82,107,4,9,Job Level_Group_1,PhD,High,3405,No,,Work Position_Group_2,Team Size_Group_4
Male,31,Married,Part-Time,Flexible,Location_Group_7,31,Public,Average,Department_Group_4,No,23,Yes,Basic,Fixed,Artificial-Intelligence,Medium,Workshop,64,77,11,4,5,Job Level_Group_2,PhD,High,4283,Yes,Health,Work Position_Group_2,Team Size_Group_4
Female,36,Single,Remote,Day,Location_Group_5,13,Public,Poor,Department_Group_8,Yes,44,No,Basic,Fixed,Production,Low,Online,79,93,12,3,6,Job Level_Group_2,PhD,High,1168,Yes,Both,Work Position_Group_1,Team Size_Group_9
Female,43,Single,Full-Time,Flexible,Location_Group_4,18,Public,Average,Department_Group_1,Yes,54,Yes,Advanced,Fixed,Project-Management,Low,Online,46,64,56,8,7,Job Level_Group_1,PhD,Very High,3153,No,,Work Position_Group_1,Team Size_Group_10
Male,21,Married,Remote,Day,Location_Group_6,12,Private,Poor,Department_Group_4,Yes,40,Yes,Advanced,Percentage,Management,Low,Online,77,95,56,1,2,Job Level_Group_4,Bachelor,Low,4282,No,,Work Position_Group_2,Team Size_Group_4
Male,37,Single,Contract,Flexible,Location_Group_1,48,Public,Good,Department_Group_9,No,51,No,Advanced,Fixed,Quality-Supervisor,Low,Workshop,66,82,61,7,6,Job Level_Group_2,PhD,Very High,1361,No,,Work Position_Group_1,Team Size_Group_3
Male,24,Married,Remote,Flexible,Location_Group_4,9,Private,Average,Department_Group_2,No,44,Yes,Intermediate,Fixed,UX-Design,High,Workshop,58,76,49,2,2,Job Level_Group_4,Bachelor,Low,3720,Yes,Health,Work Position_Group_2,Team Size_Group_4
Male,28,Single,Contract,Day,Location_Group_1,22,Public,Average,Department_Group_1,No,26,Yes,Intermediate,Fixed,Quality-Supervisor,Medium,Online,59,75,107,3,3,Job Level_Group_3,Master,Medium,4309,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,26,Single,Contract,Night,Location_Group_2,33,Private,Good,Department_Group_5,No,47,No,Intermediate,Fixed,Management,Low,Online,55,68,80,7,4,Job Level_Group_3,Master,Medium,738,No,,Work Position_Group_2,Team Size_Group_4
Male,19,Single,Remote,Night,Location_Group_5,6,Public,Poor,Department_Group_8,No,30,Yes,Intermediate,Fixed,UX-Design,Low,In-Person,65,78,31,5,1,Job Level_Group_4,Diploma,Low,3128,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,42,Married,Full-Time,Day,Location_Group_7,7,Private,Average,Department_Group_9,No,51,Yes,Basic,Percentage,Data-Science,High,Online,68,80,42,7,9,Job Level_Group_1,PhD,High,3877,Yes,Life,Work Position_Group_1,Team Size_Group_7
Female,18,Single,Remote,Night,Location_Group_5,2,Private,Average,Department_Group_1,Yes,27,No,Advanced,Fixed,Data-Science,High,,78,78,0,4,1,Job Level_Group_4,Diploma,Low,603,Yes,Both,Work Position_Group_2,Team Size_Group_4
Male,18,Single,Full-Time,Day,Location_Group_7,44,Private,Poor,Department_Group_9,Yes,46,No,Basic,Percentage,Project-Management,Medium,Workshop,36,51,116,7,1,Job Level_Group_4,Diploma,Low,755,No,,Work Position_Group_2,Team Size_Group_4
Female,43,Single,Part-Time,Day,Location_Group_2,49,Public,Poor,Department_Group_3,Yes,38,No,Advanced,Percentage,UX-Design,High,Online,52,69,70,2,5,Job Level_Group_2,PhD,High,1461,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,30,Married,Full-Time,Flexible,Location_Group_2,15,Private,Average,Department_Group_1,Yes,47,No,Intermediate,Percentage,Artificial-Intelligence,Medium,Workshop,76,94,119,7,5,Job Level_Group_2,Master,Medium,1473,No,,Work Position_Group_2,Team Size_Group_4
Female,24,Married,Full-Time,Day,Location_Group_4,14,Private,Average,Department_Group_3,Yes,21,Yes,Advanced,Percentage,UX-Design,High,Workshop,39,49,28,5,2,Job Level_Group_4,Bachelor,Low,3206,No,,Work Position_Group_2,Team Size_Group_4
Female,26,Married,Remote,Flexible,Location_Group_7,40,Private,Good,Department_Group_1,Yes,57,No,Basic,Percentage,Quality-Supervisor,High,In-Person,38,50,68,7,3,Job Level_Group_3,Master,Medium,991,Yes,Life,Work Position_Group_2,Team Size_Group_4
Male,28,Married,Contract,Day,Location_Group_3,25,Public,Average,Department_Group_1,Yes,57,No,Intermediate,Percentage,Management,High,Workshop,73,86,19,8,4,Job Level_Group_3,Master,Medium,1050,Yes,Both,Work Position_Group_2,Team Size_Group_4
Female,29,Married,Full-Time,Flexible,Location_Group_3,15,Private,Average,Department_Group_8,No,39,Yes,Intermediate,Fixed,Data-Science,Low,,40,40,0,5,3,Job Level_Group_3,Master,Medium,687,Yes,Health,Work Position_Group_2,Team Size_Group_4
